id,name,plainName,categoryId,scope,description,targetPeople,supportType,repaymentRequired,amountDescription,applicationDeadline,requiredDocuments,documentsOptionalNote,applicationFlow,officeId,municipalityId,sourceId,status,lastVerifiedAt
public-assistance,生活保護,生活費や医療費など暮らしを支える制度,money,national,収入や資産だけでは生活できない場合に最低限度の生活を保障し自立を助ける制度です。,生活に困窮している方,benefit,false,世帯の状況に応じて決定,,本人確認書類・通帳・収入や家賃が分かるもの,書類が揃っていなくてもまず相談できます。,自治体の福祉事務所へ相談し生活保護を申請したいと伝えてください。,,,source-mhlw-public-assistance,published,2026-07-01
self-reliance,生活困窮者自立相談支援,住まいや仕事や生活費をまとめて相談できる制度,housing,national,複数の困りごとを支援員と整理し必要な支援につなぎます。,生活上の困りごとがある方,consultation,false,,,,手元にある資料だけでまず相談できます。,地域の自立相談支援機関へ連絡してください。,,,source-mhlw-self-reliance,published,2026-07-01
mito-housing-benefit,住居確保給付金,家賃や転居費用の支援,rent,municipality,離職・廃業・収入減少などの要件を満たす方に家賃相当額または転居費用を支給します。,住居を失った方または失うおそれがあり所定の要件を満たす方,benefit,false,世帯人数等による上限あり,,申請内容に応じた書類,必要書類は自立相談支援室へ確認してください。,水戸市自立相談支援室へ相談してください。,mito-self-reliance,ibaraki-mito,source-mito-self-reliance,published,2026-07-26
mito-shelter,居住支援事業（シェルター事業）,住まいがない方への一時的な衣食住支援,housing,municipality,生活に困窮し居住できる住まいがない方へ3か月間に限り衣食住を無償提供し次の住まい探しを支援します。,生活に困窮し居住できる住まいがない方,housing,false,衣食住を3か月間に限り無償提供,,申請内容に応じた書類,必要書類は自立相談支援室へ確認してください。,水戸市自立相談支援室へ相談してください。,mito-self-reliance,ibaraki-mito,source-mito-self-reliance,published,2026-07-26
mito-household-improvement,家計改善支援事業,家計や借金・滞納を整理する支援,debt,municipality,家計を見える化し滞納解消や債務整理の専門窓口への同行などを支援します。,家計・借金・税金滞納などに困っている方,consultation,false,,,,手元にある家計資料を持参すると相談が円滑です。,水戸市自立相談支援室へ相談してください。,mito-self-reliance,ibaraki-mito,source-mito-self-reliance,published,2026-07-26
housing-security-benefit,住居確保給付金,家賃や転居費用を支える制度,rent,national,離職や収入減少などで住まいを失った方または失うおそれがある方に家賃相当額などを支給する制度です。,収入や資産などの要件を満たす方,benefit,false,地域や世帯人数などにより上限があります。,,本人確認書類・収入・資産・住居に関する書類,必要書類と支給内容は地域や申請内容で異なります。,最寄りの自立相談支援機関に住居確保給付金を相談したいと伝えてください。,,,source-mhlw-housing-benefit,published,2026-07-26
livelihood-welfare-loan,生活福祉資金貸付制度,生活費や一時的な出費を借りられる制度,money,national,低所得世帯・障害者世帯・高齢者世帯などの生活を支えるため必要な資金を貸し付ける制度です。,他から資金を借りることが難しく制度の要件を満たす世帯,loan,true,資金の種類ごとに貸付上限・利率・返済期間が異なります。,,本人確認書類・世帯や収入・必要資金が分かる書類,審査があり貸付を受けられない場合もあります。,お住まいの地域の社会福祉協議会へ生活福祉資金について相談してください。,,,source-mhlw-welfare-loan,published,2026-07-26
job-seeker-support,求職者支援制度,給付金を受けながら無料の職業訓練を受ける制度,work,national,再就職・転職・スキルアップを目指す方が生活支援の給付金を受けながら無料の職業訓練を受けられる制度です。,雇用保険を受給できない求職者や一定の収入以下の在職者など,benefit,false,要件を満たす場合は職業訓練受講手当・通所手当などが支給されます。,,本人確認書類・収入や世帯状況を確認する書類,給付要件を満たさなくても無料訓練を受けられる場合があります。,住所地を管轄するハローワークで訓練の相談を受けたいと伝えてください。,,,source-mhlw-job-seeker-support,published,2026-07-26
high-cost-medical-expense,高額療養費制度,医療費が高くなった月の負担を抑える制度,medical,national,1か月の医療費の自己負担が年齢や所得に応じた上限を超えた場合に超過分を支給する制度です。,公的医療保険に加入し自己負担額が所定の上限を超えた方,reduction,false,自己負担上限は年齢・所得・制度改正時期などで異なります。,,領収書・保険資格情報・振込先など加入保険者が指定する書類,申請方法や事前手続きは加入している医療保険で異なります。,保険証や資格情報で加入保険者を確認し高額療養費について問い合わせてください。,,,source-mhlw-high-cost-medical,published,2026-07-26
medical-independence-support,自立支援医療,障害や精神疾患の継続的な医療費を軽くする制度,medical,national,精神通院医療・更生医療・育成医療の対象となる医療費の自己負担を軽減する制度です。,対象となる障害や精神疾患があり継続的な医療が必要な方,reduction,false,所得や治療内容などに応じて自己負担上限があります。,,申請書・医師の診断書等・保険資格情報など,対象医療機関や必要書類は制度区分と自治体により異なります。,お住まいの自治体の障害福祉担当窓口へ自立支援医療について相談してください。,,,source-mhlw-medical-independence,published,2026-07-26
disability-pension,障害年金,病気やけがで生活や仕事が制限される方の年金,medical,national,病気やけがによって生活や仕事などが制限されるようになった場合に要件を満たすと受け取れる公的年金です。,初診日・保険料納付・障害状態などの要件を満たす方,benefit,false,年金の種類・障害等級・家族構成などで異なります。,,年金請求書・診断書・初診日や病歴を確認する書類など,初診日や加入制度によって相談先と必要書類が異なります。,年金事務所または街角の年金相談センターへ障害年金を相談したいと伝えてください。,,,source-jps-disability-pension,published,2026-07-26
care-leave-benefit,介護休業給付,家族の介護で仕事を休む間の所得を支える給付,care,national,雇用保険の被保険者が対象家族を介護するため介護休業を取得した場合に要件を満たすと支給されます。,雇用保険に加入し対象となる介護休業を取得する方,benefit,false,休業開始前の賃金などをもとに算定され上限があります。,,事業主やハローワークが指定する申請書類,申請は原則として事業主を経由しますが本人申請が可能な場合もあります。,勤務先の担当者へ介護休業と給付について相談し必要に応じてハローワークへ確認してください。,,,source-mhlw-care-leave-benefit,published,2026-07-26
sickness-allowance,傷病手当金,病気やけがで仕事を休んだ間の生活を支える給付,work,national,業務外の病気やけがで働けず給与を受けられない場合に健康保険から支給されることがある制度です。,勤務先の健康保険に加入し支給条件を満たす被保険者,benefit,false,休業前の報酬などをもとに加入保険者が算定します。,,傷病手当金支給申請書・本人・事業主・医師が記載する項目など,国民健康保険など加入制度によっては対象外です。,勤務先または加入している健康保険へ傷病手当金の対象になるか確認してください。,,,source-kyoukaikenpo-sickness-allowance,published,2026-07-26
single-parent-allowance,児童扶養手当,ひとり親家庭などの生活を支える手当,children,national,ひとり親家庭などの生活の安定と子どもの福祉のために要件を満たす養育者へ支給される手当です。,対象となる児童を養育し所得などの要件を満たす方,benefit,false,所得・児童数・公的年金の受給状況などで異なります。,,申請書・戸籍・本人確認・所得や年金に関する書類など,必要書類と支給額は世帯状況や自治体で異なります。,お住まいの自治体のひとり親支援または児童扶養手当担当窓口へ相談してください。,,,source-cfa-single-parent-allowance,published,2026-07-26
school-expense-assistance,就学援助,小中学校の学用品や給食などの費用を助ける制度,children,national,経済的な理由で小中学校への就学が難しい家庭に市町村が学用品費や給食費など必要な援助を行う制度です。,市町村が定める認定基準を満たす児童生徒の保護者,benefit,false,対象費目・支給額・認定基準は市町村ごとに異なります。,,申請書・所得や世帯状況を確認する書類など,申請時期や対象費目は学校・教育委員会へ確認してください。,通学している学校または市町村教育委員会へ就学援助について相談してください。,,,source-mext-school-assistance,published,2026-07-26
