id,label,description,consultationScript,sortOrder
food,今日食べるものがない,食料・日用品・炊き出しなど,今日食べるものがなく、利用できる支援を相談したいです,1
housing,今夜泊まる場所がない,一時宿泊・住まい・家賃滞納(たいのう)など,今夜泊まる場所がなく、相談したいです,2
rent,家賃が払えない・住まいを失いそう,家賃滞納(たいのう)・住居確保給付金・転居など,家賃が払えず住まいを失いそうで、相談したいです,3
utilities,電気・ガス・水道が止まりそう,支払いを待ってもらう相談・料金を軽くする制度など,電気・ガス・水道が止まりそうで、支払いについて相談したいです,4
money,生活費がなく生活できない,生活保護・給付・貸付・負担を軽くする制度など,生活費がなく、これからの生活について相談したいです,5
medical,病院に行くお金がない,医療費・保険・無料低額診療など,医療費が心配で病院に行けず、相談したいです,6
work,仕事を失った・働けない,失業・就労・休職・傷病手当など,仕事を失った、または働けない状況で、生活について相談したいです,7
debt,借金の返済や差し押さえが心配,借金の整理・請求・支払いの相談など,借金の返済や差し押さえが心配で、相談したいです,8
violence,家族や同居人から逃げたい,DV・虐待・性暴力・避難など,家族や同居人から逃げる必要があり、安全について相談したいです,9
children,子ども・妊娠・ひとり親,子育て・就学・妊娠・ひとり親支援など,子育てや妊娠、ひとり親家庭の生活のことで相談したいです,10
mental,心や体が限界,こころ・障害・依存・医療相談など,心も体も限界に近く、相談したいです,11
disability,障害や病気で暮らしに支援が必要,障害福祉・発達・暮らしに必要な手助けなど,障害や病気があり、暮らしに必要な支援について相談したいです,12
care,介護のため生活や仕事が続けられない,介護保険・地域包括・家族支援など,介護のため生活や仕事を続けることが難しく、相談したいです,13
unknown,何を選べばよいか分からない,状況を整理しながら案内します,何から話せばよいか分かりませんが、生活について相談したいです,14
